varible_name,method,cluster
pca,sklearn.decomposition.PCA,SCIKIT_LEARN_VISUALIZATION
pca,sklearn.decomposition.PCA,SCIKIT_LEARN_VISUALIZATION
regr,sklearn.ensemble.RandomForestRegressor,SCIKIT_LEARN_VISUALIZATION
tsne,sklearn.manifold.TSNE,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
mlp,sklearn.neural_network.MLPRegressor,SCIKIT_LEARN_VISUALIZATION
scale,sklearn.preprocessing.StandardScaler,SCIKIT_LEARN_VISUALIZATION
scale,sklearn.preprocessing.StandardScaler,SCIKIT_LEARN_VISUALIZATION
clf,sklearn.svm.SVR,SCIKIT_LEARN_VISUALIZATION
kf,sklearn.model_selection.KFold,NUMPY_VISUALIZATION
model,sklearn.linear_model.LogisticRegression,NUMPY_VISUALIZATION
model,sklearn.linear_model.LogisticRegression,NUMPY_VISUALIZATION
model,sklearn.linear_model.LogisticRegression,NUMPY_VISUALIZATION
model,sklearn.linear_model.LogisticRegression,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
score,sklearn.metrics.accuracy_score,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
"trainX,testX,trainy,testy",sklearn.model_selection.train_test_split,NUMPY_VISUALIZATION
kmeans,sklearn.cluster.KMeans,NUMPY_VISUALIZATION
projection,sklearn.manifold.TSNE,NUMPY_VISUALIZATION
mdl,sklearn.tree.DecisionTreeClassifier,REQUESTS
mdl,sklearn.tree.DecisionTreeClassifier,REQUESTS
kmeans,sklearn.cluster.KMeans,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
rf,sklearn.ensemble.RandomForestClassifier,SCIKIT_LEARN_VISUALIZATION
X_TSNE,sklearn.manifold.TSNE,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,SCIKIT_LEARN_VISUALIZATION
sklearn_pca,sklearn.decomposition.PCA,SCIKIT_LEARN_VISUALIZATION
sklearn_pca,sklearn.decomposition.PCA,SCIKIT_LEARN_VISUALIZATION
pca,sklearn.decomposition.PCA,SCIKIT_LEARN_VISUALIZATION
score,sklearn.model_selection.cross_val_score,SCIKIT_LEARN_VISUALIZATION
score,sklearn.model_selection.cross_val_score,SCIKIT_LEARN_VISUALIZATION
X_std,sklearn.preprocessing.StandardScaler,SCIKIT_LEARN_VISUALIZATION
X_std_test,sklearn.preprocessing.StandardScaler,SCIKIT_LEARN_VISUALIZATION
model,sklearn.ensemble.RandomForestRegressor,NUMPY_VISUALIZATION
