varible_name,method,"AffinityPropagation(damping=0.999, random_state=0)","AgglomerativeClustering(metric='euclidean', n_clusters=13)","KMeans(n_clusters=13, n_init='auto', random_state=0)",MeanShift(bandwidth=2.3),"SpectralClustering(assign_labels='discretize', n_clusters=13, random_state=0)"
test_acc,numpy.mean,CLUSTER_23,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
self._data,numpy.hstack,CLUSTER_23,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
self._data,numpy.vstack,CLUSTER_23,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
au_1062bio,pandas.DataFrame,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
principalDf,pandas.DataFrame,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
au_1062bio_feature,pandas.concat,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
au_1062bio,pandas.merge,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
Epsilon,numpy.arange,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"y_true,y_pred",numpy.array,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
var,numpy.cumsum,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
ssres,numpy.sum,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
sstot,numpy.sum,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
f_test,numpy.var,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
tsne,sklearn.manifold.TSNE,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"X_train,X_test,y_train,y_test",sklearn.model_selection.train_test_split,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
clf,sklearn.svm.SVR,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
mlp,sklearn.neural_network.MLPRegressor,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
pca,sklearn.decomposition.PCA,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
pca,sklearn.decomposition.PCA,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
regr,sklearn.ensemble.RandomForestRegressor,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
scale,sklearn.preprocessing.StandardScaler,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
scale,sklearn.preprocessing.StandardScaler,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
rmse,math.sqrt,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
training_loss,math.sqrt,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
AUC,scipy.integrate.simps,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"fig1,ax1",matplotlib.pyplot.subplots,CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
df_1,pandas.DataFrame,CLUSTER_0,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
df,pandas.read_csv,CLUSTER_0,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
b,numpy.unique,CLUSTER_0,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
